"","Game","Opponent","Weekday","TeamRecord","TeamWinPct","OppRecord","OppWinPct","TotalAttendance","OppAllStars","DaysSinceHome","TradeDeadline","twoTimeAllStars","CombWinPct","OppCombWinPct","EndOrDay"
"1",1,"Washington","Thursday","0-0",0,"0-0",0,19049,1,0,0,1,0.585,0.5,"Weekday"
"2",2,"Sacramento","Monday","2-0",1,"2-1",0.666666667,12501,1,3,0,1,0.585,0.402,"Weekday"
"3",3,"LA Lakers","Wednesday","3-0",1,"1-3",0.25,13800,2,1,0,1,0.585,0.207,"Weekday"
"4",4,"Houston","Saturday","3-2",0.6,"3-2",0.6,16895,1,2,0,1,0.585,0.5,"Weekend"
"5",5,"Chicago","Wednesday","5-2",0.714285714,"4-3",0.571428571,16354,3,3,0,3,0.585,0.512,"Weekday"
"6",6,"Philadelphia","Saturday","6-2",0.75,"1-7",0.125,17399,0,2,0,0,0.585,0.122,"Weekend"
"7",7,"Milwakee","Wednesday","8-2",0.8,"5-4",0.555555556,14656,1,3,0,0,0.585,0.402,"Weekday"
"8",8,"New Orleans","Tuesday","9-4",0.692307692,"4-10",0.285714286,19120,2,5,0,1,0.585,0.366,"Weekday"
"9",9,"Detroit","Friday","10-9",0.526315789,"10-10",0.5,15500,1,2,0,0,0.585,0.537,"Weekday"
"10",10,"Oklahoma City","Monday","10-11",0.476190476,"13-8",0.619047619,14654,1,2,0,1,0.585,0.671,"Weekday"
"11",11,"Miami","Wednesday","10-12",0.454545455,"7-14",0.333333333,11326,0,1,0,0,0.454545455,0.333333333,"Weekday"
"12",12,"Orlando","Tuesday","12-12",0.5,"10-15",0.4,13585,0,5,0,0,0.5,0.4,"Weekday"
"13",13,"Charlotte","Saturday","13-13",0.5,"14-13",0.518518519,17918,2,3,0,1,0.5,0.518518519,"Weekend"
"14",14,"Minnesota","Wednesday","14-14",0.5,"8-19",0.296296296,17578,0,3,0,0,0.5,0.296296296,"Weekday"
"15",15,"New York","Wednesday","15-16",0.483870968,"16-14",0.533333333,19066,3,6,0,3,0.483870968,0.533333333,"Weekday"
"16",16,"Detroit","Friday","16-16",0.5,"15-19",0.441176471,19009,1,1,0,0,0.5,0.441176471,"Weekend"
"17",17,"San Antonio","Sunday","17-16",0.515151515,"27-6",0.818181818,18088,6,1,0,5,0.515151515,0.818181818,"Weekend"
"18",18,"Boston","Friday","22-16",0.578947368,"24-15",0.615384615,18216,2,4,0,1,0.578947368,0.615384615,"Weekend"
"19",19,"Milwakee","Sunday","22-17",0.564102564,"20-18",0.526315789,14231,1,1,0,0,0.564102564,0.526315789,"Weekend"
"20",20,"Chicago","Friday","24-18",0.571428571,"21-22",0.488372093,16328,3,4,0,3,0.571428571,0.488372093,"Weekend"
"21",21,"Philadelphia","Saturday","25-18",0.581395349,"15-26",0.365853659,15116,0,0,0,0,0.581395349,0.365853659,"Weekend"
"22",22,"LA Clippers","Monday","26-18",0.590909091,"29-16",0.644444444,12853,4,1,0,3,0.590909091,0.644444444,"Weekday"
"23",23,"Washington","Friday","27-19",0.586956522,"25-20",0.555555556,16968,1,3,0,1,0.586956522,0.555555556,"Weekend"
"24",24,"New York","Sunday","27-20",0.574468085,"21-27",0.4375,13643,3,1,0,3,0.574468085,0.4375,"Weekend"
"25",25,"Orlando","Saturday","29-21",0.58,"20-32",0.384615385,16691,0,5,0,0,0.58,0.384615385,"Weekend"
"26",26,"Utah","Monday","30-21",0.588235294,"32-19",0.62745098,13126,2,1,0,1,0.588235294,0.62745098,"Weekday"
"27",27,"Denver","Wednesday","30-22",0.576923077,"23-28",0.450980392,14222,2,1,0,1,0.576923077,0.450980392,"Weekday"
"28",28,"Miami","Friday","32-24",0.571428571,"25-32",0.438596491,18122,0,1,1,0,0.571428571,0.438596491,"Weekend"
"29",29,"Dallas","Wednesday","33-26",0.559322034,"24-35",0.406779661,12483,3,4,1,2,0.559322034,0.406779661,"Weekday"
"30",30,"Cleveland","Friday","34-26",0.566666667,"41-18",0.694915254,18877,4,1,1,3,0.566666667,0.694915254,"Weekend"
"31",31,"Indiana","Sunday","34-27",0.557377049,"31-30",0.508196721,15366,2,1,1,1,0.557377049,0.508196721,"Weekend"
"32",32,"Golden State","Monday","34-28",0.548387097,"51-11",0.822580645,18890,6,0,1,4,0.548387097,0.822580645,"Weekday"
"33",33,"Brooklyn","Wednesday","34-29",0.53968254,"11-51",0.177419355,11931,1,1,1,0,0.53968254,0.177419355,"Weekday"
"34",34,"Toronto","Friday","35-29",0.546875,"38-26",0.59375,16078,2,1,1,2,0.546875,0.59375,"Weekend"
"35",35,"Memphis","Thursday","37-30",0.552238806,"38-30",0.558823529,17063,3,5,1,3,0.552238806,0.558823529,"Weekday"
"36",36,"Portland","Saturday","37-31",0.544117647,"30-37",0.447761194,16543,1,1,1,1,0.544117647,0.447761194,"Weekend"
"37",37,"Brooklyn","Sunday","37-35",0.513888889,"15-57",0.208333333,15921,1,0,1,0,0.513888889,0.208333333,"Weekend"
"38",38,"Phoenix","Tuesday","37-36",0.506849315,"22-52",0.297297297,13412,1,1,1,0,0.506849315,0.297297297,"Weekday"
"39",39,"Boston","Thursday","39-38",0.506493506,"50-28",0.641025641,18688,2,1,1,1,0.506493506,0.641025641,"Weekday"
"40",40,"Cleveland","Sunday","41-38",0.518987342,"51-28",0.64556962,18835,4,2,1,3,0.518987342,0.64556962,"Weekend"
"41",41,"Charlotte","Tuesday","42-38",0.525,"36-45",0.444444444,14205,2,1,1,1,0.525,0.444444444,"Weekday"
